,ts,th_limit,budget,delta,rpq_occ,p,i,d,sp
31144,12.51088,63,-1,0,0,8,16,0,1
31145,12.51112,63,-1,0,0,8,16,0,1
31146,12.511439999999999,63,-1,0,0,8,16,0,1
31147,12.51174,63,-1,0,0,8,16,0,1
31148,12.511989999999999,63,-1,0,0,8,16,0,1
31149,12.51224,63,-1,0,0,8,16,0,1
31150,12.51249,63,-1,0,0,8,16,0,1
31151,12.51275,63,-1,0,0,8,16,0,1
31152,12.51299,63,-1,0,0,8,16,0,1
31153,12.51323,63,-1,0,0,8,16,0,1
31154,12.51348,63,-1,0,0,8,16,0,1
31155,12.51373,63,-1,0,0,8,16,0,1
31156,12.51401,63,-1,0,0,8,16,0,1
31157,12.51425,63,-1,0,0,8,16,0,1
31158,12.5145,63,-1,0,0,8,16,0,1
31159,12.51474,63,-1,0,0,8,16,0,1
31160,12.51499,63,-1,0,0,8,16,0,1
31161,12.515239999999999,63,-1,0,0,8,16,0,1
31162,12.51549,63,-1,0,0,8,16,0,1
31163,12.51574,63,-1,0,0,8,16,0,1
31164,12.51598,63,-1,0,0,8,16,0,1
31165,12.51623,63,-1,0,0,8,16,0,1
31166,12.51648,63,-1,0,0,8,16,0,1
31167,12.516760000000001,63,-1,0,0,8,16,0,1
31168,12.51701,63,-1,0,0,8,16,0,1
31169,12.51726,63,-1,0,0,8,16,0,1
31170,12.517510000000001,62,-1,0,0,8,16,0,1
31171,12.51775,62,-1,0,0,8,16,0,1
31172,12.51802,62,-1,0,0,8,16,0,1
31173,12.51827,62,-1,0,0,8,16,0,1
31174,12.518510000000001,62,-1,0,0,8,16,0,1
31175,12.51876,62,-1,0,0,8,16,0,1
31176,12.519,62,-1,0,0,8,16,0,1
